Reaction;Flux Value
EX_etoh(e);14,83301641
EX_h2o(e);9191,375784
EX_caro(e);0,000249128
EX_retinol(e);0,023273274
EX_thm(e);0,347019925
EX_adpcbl(e);5,12003E-07
EX_ribflv(e);0,000254629
EX_nac(e);0,018551847
EX_ncam(e);0,008822956
EX_pnto_R(e);0,003549439
EX_pydam(e);0,000194542
EX_pydxn(e);0,000194568
EX_pydx(e);0,000196915
EX_btn(e);1,50721E-05
EX_10fthf(e);1,10165E-05
EX_5mthf(e);1,13283E-05
EX_thf(e);1,17124E-05
EX_ascb_L(e);0,032585506
EX_vitd3(e);1,32646E-06
EX_avite1(e);0,002273882
EX_phyQ(e);1,25658E-05
EX_ca2(e);1,842989504
EX_cl(e);22,63480288
EX_k(e);4,220974228
EX_mg2(e);1,065984365
EX_na1(e);6,2896093
EX_pi(e);0,977775937
EX_cu2(e);0,002065433
EX_fe2(e);0,008363924
EX_fe3(e);0,008363924
EX_mn2(e);0,005680641
EX_zn2(e);0,010891455
EX_mnl(e);0,032478499
EX_xylt(e);0
EX_lcts(e);1,497678183
EX_malt(e);0,17528663
EX_sucr(e);4,604925846
EX_fru(e);5,227157886
EX_gal(e);0,451775379
EX_cellul(e);0,006053991
EX_ala_L(e);2,568780034
EX_arg_L(e);1,763675628
EX_asp_L(e);3,369691088
EX_cys_L(e);0,553817928
EX_glu_L(e);7,033020967
EX_gly(e);2,794734942
EX_urate(e);0,240843859
EX_his_L(e);0,772979016
EX_ile_L(e);1,915680881
EX_leu_L(e);3,065238704
EX_lys_L(e);2,071876065
EX_met_L(e);0,631816536
EX_phe_L(e);1,453793461
EX_pro_L(e);3,287222615
EX_ser_L(e);2,490854891
EX_thr_L(e);1,642234557
EX_trp_L(e);0,280337996
EX_tyr_L(e);0,986886585
EX_val_L(e);2,281278481
EX_dca(e);0,132104321
EX_ddca(e);0,145978773
EX_ttdca(e);0,527356034
EX_ttdcea(e);0,057396641
EX_ptdca(e);0,049313434
EX_hdca(e);2,350796406
EX_hpdca(e);0,03695127
EX_ocdca(e);0,568503656
EX_ocdcea(e);5,340031423
EX_lnlc(e);3,066428092
EX_lnlnca(e);0,328170675
EX_strdnc(e);0,025606154
EX_arach(e);0,078205962
EX_CE2510(e);0,222792772
EX_CE4843(e);0,005450029
EX_arachd(e);0,011190423
EX_docosac(e);0,106565617
EX_doco13ac(e);0,194730986
EX_adrn(e);0,001055768
EX_clpnd(e);0,004539759
EX_crvnc(e);0,160874817
EX_but(e);0,340228121
EX_octa(e);0,075015625
EX_chsterol(e);0,028664769
EX_sbt_D(e);0,351716987
EX_glc_D(e);4,000886639
EX_hdcea(e);0,235404878
EX_lgnc(e);0,037916416
EX_fol(e);1,17928E-05
EX_strch1(e);1,709433932
EX_i(e);0,000163092
EX_starch1200(e);0,015826624
