Reaction;Flux Value
EX_etoh(e);0
EX_h2o(e);6608,413339
EX_caro(e);6,75207E-05
EX_retinol(e);0,129457588
EX_thm(e);0,075370843
EX_adpcbl(e);3,77737E-07
EX_ribflv(e);0,000192633
EX_nac(e);0,013250588
EX_ncam(e);0,007563996
EX_pnto_R(e);0,00093557
EX_pydam(e);0,000137903
EX_pydxn(e);0,000137922
EX_pydx(e);0,000139585
EX_btn(e);7,22865E-06
EX_10fthf(e);4,6444E-06
EX_5mthf(e);4,77585E-06
EX_thf(e);4,93778E-06
EX_ascb_L(e);0,011749341
EX_vitd3(e);2,76342E-06
EX_avite1(e);0,002322736
EX_phyQ(e);9,14327E-06
EX_ca2(e);1,677520502
EX_cl(e);30,60730639
EX_k(e);2,358041569
EX_mg2(e);0,651220599
EX_na1(e);15,04228885
EX_pi(e);0,789701529
EX_cu2(e);0,00082814
EX_fe2(e);0,009174575
EX_fe3(e);0,009174575
EX_mn2(e);0,000755396
EX_zn2(e);0,009425665
EX_mnl(e);0,006221234
EX_sbt_D(e);0
EX_xylt(e);0,004929482
EX_lcts(e);0,002629299
EX_malt(e);0
EX_sucr(e);0,141203119
EX_fru(e);0,383052493
EX_gal(e);0
EX_glc_D(e);1,448641149
EX_cellul(e);0,001256675
EX_ala_L(e);3,519600823
EX_arg_L(e);1,873748993
EX_asp_L(e);4,159954311
EX_cys_L(e);0,517893823
EX_glu_L(e);7,158042667
EX_gly(e);3,300591297
EX_urate(e);0,209785381
EX_his_L(e);1,074119513
EX_ile_L(e);2,350996916
EX_leu_L(e);3,839887406
EX_lys_L(e);3,316496315
EX_met_L(e);1,084856956
EX_phe_L(e);1,562136465
EX_pro_L(e);3,365789257
EX_ser_L(e);2,89916147
EX_thr_L(e);2,178241767
EX_trp_L(e);0,341518415
EX_tyr_L(e);1,171558441
EX_val_L(e);3,000621161
EX_dca(e);0,43070821
EX_ddca(e);0,445671345
EX_ttdca(e);1,42009877
EX_ttdcea(e);0,173025672
EX_ptdca(e);0,140937444
EX_hdca(e);5,481999112
EX_hpdca(e);0,086705201
EX_ocdca(e);1,590552898
EX_ocdcea(e);10,46361938
EX_lnlc(e);2,689927682
EX_lnlnca(e);0,216277241
EX_strdnc(e);0,110745671
EX_arach(e);0,058299695
EX_CE2510(e);0,262476901
EX_CE4843(e);0,012366228
EX_arachd(e);0,035617124
EX_docosac(e);0,020734215
EX_doco13ac(e);0,286341942
EX_adrn(e);0,001508241
EX_clpnd(e);0,017617806
EX_crvnc(e);0,070332475
EX_but(e);1,117047008
EX_octa(e);0,239641489
EX_chsterol(e);0,094906249
EX_hdcea(e);0,722618192
EX_lgnc(e);0,008569559
EX_fol(e);4,97169E-06
EX_strch1(e);0,0028621
EX_i(e);0,000320241
EX_starch1200(e);2,64985E-05
