Reaction;Flux Value
EX_etoh(e);0,949674831
EX_h2o(e);7569,639032
EX_caro(e);0,00054715
EX_retinol(e);0,045819259
EX_thm(e);0,301483374
EX_adpcbl(e);0,000000107
EX_ribflv(e);0,000287288
EX_nac(e);0,019997024
EX_ncam(e);0,009015724
EX_pnto_R(e);0,002285464
EX_pydam(e);0,000208086
EX_pydxn(e);0,000208114
EX_pydx(e);0,000210624
EX_btn(e);1,99674E-05
EX_10fthf(e);1,06124E-05
EX_5mthf(e);1,09127E-05
EX_thf(e);1,12827E-05
EX_ascb_L(e);0,063077164
EX_vitd3(e);6,391E-07
EX_avite1(e);0,002855776
EX_phyQ(e);3,90128E-05
EX_ca2(e);1,375837949
EX_cl(e);9,643542154
EX_k(e);4,851990581
EX_mg2(e);1,298138243
EX_na1(e);6,162995009
EX_pi(e);0,930669426
EX_cu2(e);0,001971997
EX_fe2(e);0,01768567
EX_fe3(e);0,01768567
EX_mn2(e);0,00726576
EX_zn2(e);0,010199985
EX_mnl(e);0,112133162
EX_xylt(e);0,011502125
EX_lcts(e);1,107278339
EX_malt(e);0,033474877
EX_sucr(e);5,713248602
EX_fru(e);6,55530386
EX_gal(e);0,042093172
EX_cellul(e);0,009903677
EX_ala_L(e);2,4608874
EX_arg_L(e);1,694654448
EX_asp_L(e);3,340021717
EX_cys_L(e);0,576116598
EX_glu_L(e);5,450644145
EX_gly(e);2,532603826
EX_urate(e);0,263299354
EX_his_L(e);0,717485979
EX_ile_L(e);1,747177135
EX_leu_L(e);2,638246607
EX_lys_L(e);1,931115138
EX_met_L(e);0,527914664
EX_phe_L(e);1,237413919
EX_pro_L(e);2,121027877
EX_ser_L(e);2,171456014
EX_thr_L(e);1,594122736
EX_trp_L(e);0,258041327
EX_tyr_L(e);0,8861823
EX_val_L(e);2,124110336
EX_dca(e);0,001810148
EX_ddca(e);0,004243812
EX_ttdca(e);0,0328128
EX_ttdcea(e);0,001303545
EX_ptdca(e);0,003004307
EX_hdca(e);1,435297638
EX_hpdca(e);0,008441807
EX_ocdca(e);0,392672593
EX_ocdcea(e);5,425519228
EX_lnlc(e);2,769701036
EX_lnlnca(e);0,948465819
EX_strdnc(e);0
EX_arach(e);0,027816343
EX_CE2510(e);0,041946467
EX_CE4843(e);0,001584736
EX_arachd(e);0,014982809
EX_docosac(e);0,016429822
EX_doco13ac(e);0,002078645
EX_adrn(e);0
EX_clpnd(e);0,002090312
EX_crvnc(e);0,016013686
EX_but(e);0,003013874
EX_octa(e);0,000645934
EX_chsterol(e);0,043876494
EX_sbt_D(e);0,273748004
EX_glc_D(e);5,00879146
EX_hdcea(e);0,150707695
EX_lgnc(e);0,006957312
EX_fol(e);1,13602E-05
EX_strch1(e);1,879748414
EX_i(e);0,000152526
EX_starch1200(e);0,017403463
