Reaction;Flux Value
EX_etoh(e);0
EX_h2o(e);7459,65832
EX_caro(e);0,000396587
EX_retinol(e);0,086547489
EX_thm(e);0,28185555
EX_adpcbl(e);1,48114E-07
EX_ribflv(e);0,000219756
EX_nac(e);0,021100956
EX_ncam(e);0,010213271
EX_pnto_R(e);0,00171553
EX_pydam(e);0,000225324
EX_pydxn(e);0,000225355
EX_pydx(e);0,000228072
EX_btn(e);2,05702E-05
EX_10fthf(e);1,04969E-05
EX_5mthf(e);1,0794E-05
EX_thf(e);1,116E-05
EX_ascb_L(e);0,046766566
EX_vitd3(e);6,08798E-07
EX_avite1(e);0,001649423
EX_phyQ(e);2,13693E-05
EX_ca2(e);1,059143004
EX_cl(e);20,09022509
EX_k(e);4,109487071
EX_mg2(e);1,06569293
EX_na1(e);10,38575197
EX_pi(e);0,752314996
EX_cu2(e);0,001608415
EX_fe2(e);0,013710941
EX_fe3(e);0,013710941
EX_mn2(e);0,004539963
EX_zn2(e);0,007026231
EX_mnl(e);0,006587189
EX_xylt(e);0,003286321
EX_lcts(e);0,713130527
EX_malt(e);0,348138724
EX_sucr(e);3,445477824
EX_fru(e);2,741952711
EX_gal(e);0,012160764
EX_cellul(e);0,004027219
EX_ala_L(e);3,468659318
EX_arg_L(e);1,791607761
EX_asp_L(e);4,006175746
EX_cys_L(e);0,728536121
EX_glu_L(e);6,759156035
EX_gly(e);3,132448941
EX_urate(e);0,189660945
EX_his_L(e);1,064153646
EX_ile_L(e);2,266572719
EX_leu_L(e);3,416583189
EX_lys_L(e);2,609563755
EX_met_L(e);0,984558754
EX_phe_L(e);1,594015334
EX_pro_L(e);2,661157701
EX_ser_L(e);2,904682394
EX_thr_L(e);2,027319763
EX_trp_L(e);0,342502827
EX_tyr_L(e);1,164720489
EX_val_L(e);2,85989613
EX_dca(e);0,04813437
EX_ddca(e);0,050252588
EX_ttdca(e);0,177310989
EX_ttdcea(e);0,02033807
EX_ptdca(e);0,015185513
EX_hdca(e);1,569270203
EX_hpdca(e);0,017099338
EX_ocdca(e);0,513967327
EX_ocdcea(e);4,14588762
EX_lnlc(e);1,219712219
EX_lnlnca(e);0,069088563
EX_strdnc(e);0,003388939
EX_arach(e);0,028031014
EX_CE2510(e);0,033719663
EX_CE4843(e);0,002571894
EX_arachd(e);0,024557142
EX_docosac(e);0,007802018
EX_doco13ac(e);0,011528825
EX_adrn(e);0,001106043
EX_clpnd(e);0,011646568
EX_crvnc(e);0,134645504
EX_but(e);0,122171934
EX_octa(e);0,026761159
EX_chsterol(e);0,066473169
EX_sbt_D(e);0,085816429
EX_glc_D(e);4,473024012
EX_hdcea(e);0,165319786
EX_lgnc(e);0,002837441
EX_fol(e);1,12366E-05
EX_strch1(e);1,128601706
EX_i(e);0,000148425
EX_starch1200(e);0,010449046
