"";"Bacteroides_thetaiotaomicron_VPI_5482, AGORA version 1.03";"Blautia_producta_DSM_2950, AGORA version 1.03";"Escherichia_coli_str_K_12_substr_MG1655, AGORA version 1.03";"Clostridium_ramosum_VPI_0427_DSM_1402, AGORA version 1.03";"Lactobacillus_plantarum_subsp_plantarum_ATCC_14917, AGORA version 1.03";"Bifidobacterium_longum_NCC2705, AGORA version 1.03";"Akkermansia_muciniphila_ATCC_BAA_835, AGORA version 1.03"
"1";5;5;5;5;5;5;5
"2";8;7;7;9;8;7;5
"3";16;14;14;18;15;14;5
"4";32;28;28;36;30;28;8
"5";64;56;56;72;60;56;16
"6";128;112;112;144;120;112;32
"7";256;224;224;288;240;224;64
"8";512;447;448;574;480;448;128
"9";1009;871;880;1115;939;878;255
"10";1494;1343;1498;1695;1334;1214;414
"11";1584;1521;1789;1897;1452;1276;476
"12";1585;1523;1790;1897;1452;1277;476
