"";"Bacteroides_thetaiotaomicron_VPI_5482, AGORA version 1.03";"Blautia_producta_DSM_2950, AGORA version 1.03";"Escherichia_coli_str_K_12_substr_MG1655, AGORA version 1.03";"Clostridium_ramosum_VPI_0427_DSM_1402, AGORA version 1.03";"Lactobacillus_plantarum_subsp_plantarum_ATCC_14917, AGORA version 1.03";"Bifidobacterium_longum_NCC2705, AGORA version 1.03";"Akkermansia_muciniphila_ATCC_BAA_835, AGORA version 1.03"
"1";5;5;5;5;5;5;5
"2";7;7;7;5;7;8;5
"3";14;14;14;10;14;15;5
"4";28;28;28;20;28;30;9
"5";56;56;56;40;56;60;18
"6";112;112;112;80;112;120;36
"7";224;224;224;160;224;240;72
"8";448;447;448;320;448;480;143
"9";870;880;878;632;867;937;281
"10";1286;1477;1307;1089;1280;1503;452
"11";1458;1828;1484;1346;1432;1764;560
"12";1474;1851;1501;1362;1451;1795;566
